  181CHOL    R2 2131   6.930   1.513   5.593  0.1129  0.0722 -0.0586
  181CHOL    R3 2132   7.110   1.665   5.458  0.1505  0.0652 -0.0234
  181CHOL    R4 2133   7.030   1.460   5.266  0.3092 -0.0880  0.0208
  181CHOL    R5 2134   7.233   1.509   5.325  0.2787  0.0086  0.1286
  181CHOL    C1 2135   7.258   1.572   4.950  0.4589 -0.1879  0.1002
  181CHOL    C2 2136   7.481   1.650   4.637  0.0545  0.0499 -0.1794
  182CHOL   ROH 2137   1.647   3.882   6.644 -0.2972 -0.0504  0.2556
  182CHOL    R1 2138   1.516   3.977   6.412 -0.2430  0.0013  0.2432
  182CHOL    R2 2139   1.569   3.877   6.158 -0.2201  0.0175  0.2293
  182CHOL    R3 2140   1.301   3.837   6.155 -0.2240  0.0648  0.1972
  182CHOL    R4 2141   1.381   3.804   5.877 -0.2224  0.0842  0.2154
  182CHOL    R5 2142   1.226   3.936   5.951 -0.1973  0.0940  0.2124
  182CHOL    C1 2143   1.020   3.724   5.711 -0.2273  0.1675  0.1771
  182CHOL    C2 2144   1.114   3.795   5.365 -0.3237 -0.1163  0.3387
  183CHOL   ROH 2145   7.372   4.603   3.389 -0.0821 -0.0110 -0.1389
  183CHOL    R1 2146   7.265   4.714   3.627 -0.0303  0.0268 -0.1313
  183CHOL    R2 2147   7.022   4.628   3.738 -0.0690  0.1140 -0.1143
  183CHOL    R3 2148   7.178   4.592   3.957 -0.0589  0.0479 -0.1374
  183CHOL    R4 2149   6.919   4.644   4.067 -0.0214 -0.0881 -0.0885
  183CHOL    R5 2150   7.100   4.746   4.118 -0.0709 -0.0769 -0.0484
  183CHOL    C1 2151   7.005   4.618   4.464  0.0158 -0.2677 -0.0952
  183CHOL    C2 2152   7.315   4.589   4.776  0.0120  0.0310  0.1640
  184CHOL   ROH 2153   2.722   4.930   6.076 -0.1596 -0.2288 -0.0223
  184CHOL    R1 2154   2.696   4.861   5.802 -0.1629 -0.1792 -0.0373
  184CHOL    R2 2155   2.848   4.663   5.683 -0.1170 -0.1258 -0.0964
  184CHOL    R3 2156   2.606   4.565   5.611 -0.1023 -0.1645 -0.0831
  184CHOL    R4 2157   2.778   4.519   5.378 -0.2017  0.1349 -0.2036
  184CHOL    R5 2158   2.585   4.622   5.379 -0.2398  0.0448 -0.0166
